Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
0.000E+000,3.725E-009,5.348E-010,2.842E-014,-1.776E-014,-2.284E-010
5.821E-011,0.000E+000,5.348E-010,7.105E-015,-1.776E-014,-4.304E-010
5.821E-011,-9.313E-010,1.872E-010,7.105E-015,-1.776E-014,9.501E-010
5.821E-011,-9.313E-010,1.872E-010,7.105E-015,-1.421E-014,5.518E-010
0.000E+000,2.794E-009,1.872E-010,2.842E-014,-1.599E-014,-1.483E-009
1.164E-010,9.313E-010,1.597E-009,-1.421E-014,-1.776E-014,6.613E-010
-5.821E-011,2.794E-009,8.920E-010,2.842E-014,-1.954E-014,-1.418E-011
5.821E-011,-9.313E-010,2.538E-011,0.000E+000,-2.132E-014,1.119E-010
5.821E-011,9.313E-010,-1.384E-009,2.842E-014,-1.421E-014,-5.332E-010
0.000E+000,0.000E+000,2.538E-011,1.421E-014,-1.599E-014,1.389E-009
-1.164E-010,0.000E+000,1.435E-009,3.553E-014,-2.132E-014,-2.128E-010
0.000E+000,1.863E-009,2.538E-011,0.000E+000,-1.421E-014,-6.568E-010
-1.746E-010,0.000E+000,-2.061E-011,7.105E-015,-1.954E-014,7.816E-012
2.910E-010,9.313E-010,-2.061E-011,2.132E-014,-1.421E-014,-2.269E-009
0.000E+000,-1.863E-009,6.843E-010,0.000E+000,-1.776E-014,5.646E-010
1.164E-010,2.794E-009,6.843E-010,2.842E-014,-1.599E-014,-1.284E-009
1.746E-010,0.000E+000,-2.058E-011,0.000E+000,-1.421E-014,-1.044E-009
0.000E+000,2.794E-009,2.791E-009,2.132E-014,-1.954E-014,5.853E-010
1.746E-010,1.863E-009,1.381E-009,2.842E-014,-1.243E-014,8.560E-010
1.164E-010,-1.863E-009,1.381E-009,0.000E+000,-1.599E-014,1.101E-009
-5.821E-011,0.000E+000,-2.851E-011,7.105E-015,-1.776E-014,-2.898E-010
5.821E-011,-9.313E-010,6.763E-010,0.000E+000,-1.954E-014,-6.992E-011
5.821E-011,9.313E-010,-9.416E-010,2.132E-014,-1.243E-014,-3.644E-011
5.821E-011,2.794E-009,-9.416E-010,2.842E-014,-1.776E-014,7.543E-011
5.821E-011,1.863E-009,-9.415E-010,2.842E-014,-1.776E-014,-5.177E-010
-5.821E-011,1.863E-009,-9.415E-010,4.974E-014,-2.132E-014,-1.136E-009
0.000E+000,-9.313E-010,-1.646E-009,0.000E+000,-1.776E-014,-3.701E-010
-5.821E-011,0.000E+000,8.342E-010,7.105E-015,-1.421E-014,1.093E-009
1.164E-010,9.313E-010,-5.755E-010,1.421E-014,-1.599E-014,2.529E-010
5.821E-011,0.000E+000,-1.280E-009,2.842E-014,-1.599E-014,-1.997E-009
0.000E+000,1.863E-009,8.342E-010,2.842E-014,-1.954E-014,1.115E-009
5.821E-011,0.000E+000,-5.755E-010,7.105E-015,-1.954E-014,9.293E-010
-5.821E-011,9.313E-010,6.431E-010,7.105E-015,-1.421E-014,-3.100E-010
0.000E+000,0.000E+000,-7.665E-010,7.105E-015,-1.599E-014,1.279E-011
0.000E+000,0.000E+000,-1.471E-009,3.553E-014,-1.954E-014,8.376E-011
2.328E-010,-9.313E-010,2.053E-009,-7.105E-015,-1.243E-014,8.595E-010
5.821E-011,2.794E-009,6.432E-010,1.421E-014,-1.599E-014,4.267E-010
0.000E+000,0.000E+000,-1.600E-009,7.105E-015,-2.309E-014,6.034E-010
5.821E-011,9.313E-010,5.141E-010,3.553E-014,-1.776E-014,2.315E-009
0.000E+000,-9.313E-010,-1.907E-010,1.421E-014,-1.421E-014,9.816E-010
5.821E-011,0.000E+000,5.142E-010,4.263E-014,-1.776E-014,8.056E-010
0.000E+000,-9.313E-010,-8.955E-010,7.105E-015,-1.776E-014,-1.006E-010
-5.821E-011,0.000E+000,1.760E-009,0.000E+000,-1.954E-014,4.899E-010
1.746E-010,9.313E-010,-3.541E-010,2.132E-014,-1.421E-014,-2.953E-009
1.164E-010,9.313E-010,1.760E-009,0.000E+000,-1.599E-014,6.007E-010
0.000E+000,2.794E-009,1.056E-009,2.842E-014,-1.599E-014,1.777E-010
5.821E-011,0.000E+000,1.056E-009,2.132E-014,-1.421E-014,6.606E-010
-2.910E-010,3.725E-009,7.506E-010,2.842E-014,-2.132E-014,-3.302E-010
5.821E-011,1.863E-009,7.506E-010,2.842E-014,-1.599E-014,1.593E-009
-1.746E-010,-1.863E-009,7.506E-010,7.105E-015,-1.776E-014,6.962E-010
-5.821E-011,-1.863E-009,7.505E-010,7.105E-015,-2.132E-014,2.629E-011
1.746E-010,9.313E-010,7.505E-010,7.105E-015,-1.243E-014,1.194E-009
5.821E-011,9.313E-010,2.199E-010,3.553E-014,-1.599E-014,-3.031E-010
2.328E-010,2.794E-009,2.199E-010,2.842E-014,-1.599E-014,5.299E-010
5.821E-011,1.863E-009,1.630E-009,4.263E-014,-1.599E-014,2.747E-009
0.000E+000,2.794E-009,9.248E-010,4.263E-014,-1.954E-014,2.145E-009
-1.164E-010,-9.313E-010,9.248E-010,-7.105E-015,-1.954E-014,1.996E-009
-5.821E-011,0.000E+000,1.200E-009,7.105E-015,-1.599E-014,1.749E-009
1.164E-010,9.313E-010,1.905E-009,1.421E-014,-1.599E-014,1.404E-009
5.821E-011,0.000E+000,4.950E-010,3.553E-014,-1.599E-014,-8.297E-010
0.000E+000,3.725E-009,1.905E-009,3.553E-014,-1.954E-014,1.594E-009
5.821E-011,0.000E+000,1.200E-009,7.105E-015,-1.954E-014,1.424E-009
5.821E-011,9.313E-010,-6.013E-010,1.421E-014,-1.421E-014,1.638E-009
1.164E-010,2.794E-009,-6.013E-010,2.132E-014,-1.599E-014,-8.169E-010
1.164E-010,2.794E-009,-6.013E-010,3.553E-014,-1.776E-014,2.016E-010
1.164E-010,9.313E-010,8.084E-010,0.000E+000,-1.599E-014,3.083E-009
5.821E-011,2.794E-009,8.084E-010,2.132E-014,-1.954E-014,2.666E-009
5.821E-011,-9.313E-010,-3.591E-010,0.000E+000,-1.954E-014,-1.518E-011
5.821E-011,9.313E-010,2.460E-009,3.553E-014,-1.954E-014,2.418E-009
-5.821E-011,0.000E+000,-3.591E-010,2.132E-014,-1.776E-014,-3.093E-010
5.821E-011,0.000E+000,1.051E-009,4.263E-014,-1.954E-014,6.887E-010
0.000E+000,1.863E-009,1.051E-009,1.421E-014,-1.599E-014,3.071E-009
-5.821E-011,2.794E-009,-1.721E-009,0.000E+000,-2.132E-014,3.920E-010
2.910E-010,9.313E-010,-1.721E-009,7.105E-015,-1.421E-014,-2.557E-009
0.000E+000,-1.863E-009,1.099E-009,7.105E-015,-1.776E-014,1.014E-009
-1.746E-010,-1.863E-009,-1.016E-009,2.842E-014,-1.776E-014,-1.508E-009
1.746E-010,0.000E+000,-1.016E-009,2.132E-014,-1.243E-014,-5.305E-010
-5.821E-011,3.725E-009,1.110E-010,2.842E-014,-2.132E-014,1.338E-009
1.746E-010,1.863E-009,1.110E-010,1.421E-014,-1.599E-014,9.364E-010
-2.910E-010,-1.863E-009,-5.938E-010,2.132E-014,-1.421E-014,5.605E-011
-5.821E-011,-1.863E-009,-1.299E-009,1.421E-014,-2.132E-014,-1.303E-009
5.821E-011,1.863E-009,-2.004E-009,1.421E-014,-2.132E-014,-8.242E-010
5.821E-011,9.313E-010,-1.289E-009,2.132E-014,-1.776E-014,-8.998E-010
1.164E-010,0.000E+000,-1.289E-009,1.421E-014,-1.421E-014,-7.552E-010
5.821E-011,1.863E-009,-5.846E-010,4.263E-014,-1.599E-014,7.735E-010
0.000E+000,2.794E-009,1.202E-010,4.974E-014,-2.132E-014,-3.882E-011
0.000E+000,-9.313E-010,-5.846E-010,-7.105E-015,-1.776E-014,1.691E-009
1.164E-010,2.794E-009,-4.417E-011,2.132E-014,-1.421E-014,-5.888E-010
0.000E+000,9.313E-010,6.606E-010,7.105E-015,-1.421E-014,-1.396E-009
-1.164E-010,0.000E+000,1.365E-009,3.553E-014,-1.421E-014,3.640E-010
0.000E+000,3.725E-009,1.365E-009,3.553E-014,-1.954E-014,1.394E-009
-5.821E-011,0.000E+000,-7.491E-010,2.132E-014,-1.776E-014,8.259E-011
-5.821E-011,9.313E-010,1.121E-009,2.132E-014,-1.954E-014,1.644E-009
1.164E-010,2.794E-009,-2.889E-010,2.132E-014,-1.421E-014,3.635E-010
0.000E+000,0.000E+000,-2.889E-010,1.421E-014,-1.954E-014,6.934E-010
1.164E-010,9.313E-010,1.121E-009,0.000E+000,-1.776E-014,2.659E-009
5.821E-011,2.794E-009,1.826E-009,2.842E-014,-1.421E-014,1.101E-009
-1.164E-010,0.000E+000,-4.218E-011,7.105E-015,-1.954E-014,1.009E-009
0.000E+000,0.000E+000,-7.470E-010,4.263E-014,-1.776E-014,2.049E-009
-5.821E-011,1.863E-009,1.368E-009,1.421E-014,-1.776E-014,3.315E-009
0.000E+000,0.000E+000,6.627E-010,5.684E-014,-1.599E-014,8.306E-010
0.000E+000,1.863E-009,-7.470E-010,0.000E+000,-1.599E-014,8.880E-010
-5.821E-011,2.794E-009,-8.638E-010,1.421E-014,-2.132E-014,-1.686E-009
1.746E-010,9.313E-010,-8.638E-010,1.421E-014,-1.599E-014,-1.120E-009
1.164E-010,0.000E+000,-1.569E-009,2.132E-014,-1.776E-014,-5.792E-010
-1.746E-010,-1.863E-009,1.251E-009,2.842E-014,-1.954E-014,1.824E-009
5.821E-011,0.000E+000,5.459E-010,2.842E-014,-1.599E-014,-4.547E-010
-5.821E-011,3.725E-009,2.014E-009,3.553E-014,-1.599E-014,1.546E-009
0.000E+000,0.000E+000,6.038E-010,2.842E-014,-1.599E-014,1.865E-009
0.000E+000,-1.863E-009,1.309E-009,7.105E-015,-1.421E-014,2.864E-009
-1.746E-010,-1.863E-009,-1.011E-010,2.132E-014,-1.776E-014,5.900E-010
1.746E-010,9.313E-010,6.038E-010,1.421E-014,-1.599E-014,1.563E-009
